"","Trip.ID","Duration","Start.Date","Start.Station","Start.Terminal","End.Date","End.Station","End.Terminal","Bike..","Subscriber.Type","Zip.Code","Zip_Test","Zip_Val","Zip_Val1"
"1",431336,787,"8/29/2014 17:18","South Van Ness at Market",66,"8/29/2014 17:31","Beale at Market",56,439,"Subscriber","9611",4,"DISCARD","yes"
"2",430704,420,"8/29/2014 11:55","2nd at Folsom",62,"8/29/2014 12:02","San Francisco Caltrain 2 (330 Townsend)",69,468,"Customer","9415",4,"DISCARD","yes"
"3",430197,716,"8/29/2014 8:08","Mechanics Plaza (Market at Battery)",75,"8/29/2014 8:20","South Van Ness at Market",66,85,"Subscriber","9611",4,"DISCARD","yes"
"4",429487,862,"8/28/2014 17:06","South Van Ness at Market",66,"8/28/2014 17:21","Temporary Transbay Terminal (Howard at Beale)",55,415,"Subscriber","9611",4,"DISCARD","yes"
"5",428478,640,"8/28/2014 8:17","Mechanics Plaza (Market at Battery)",75,"8/28/2014 8:28","South Van Ness at Market",66,635,"Subscriber","9611",4,"DISCARD","yes"
"6",428052,957,"8/27/2014 19:11","Grant Avenue at Columbus Avenue",73,"8/27/2014 19:27","Powell at Post (Union Square)",71,389,"Customer","972",3,"DISCARD","yes"
"7",428051,967,"8/27/2014 19:11","Grant Avenue at Columbus Avenue",73,"8/27/2014 19:27","Powell at Post (Union Square)",71,381,"Customer","972",3,"DISCARD","yes"
"8",428019,744,"8/27/2014 18:57","Commercial at Montgomery",45,"8/27/2014 19:09","Grant Avenue at Columbus Avenue",73,381,"Customer","972",3,"DISCARD","yes"
"9",428018,746,"8/27/2014 18:57","Commercial at Montgomery",45,"8/27/2014 19:09","Grant Avenue at Columbus Avenue",73,389,"Customer","972",3,"DISCARD","yes"
"10",427943,980,"8/27/2014 18:30","Steuart at Market",74,"8/27/2014 18:46","Commercial at Montgomery",45,389,"Customer","972",3,"DISCARD","yes"
"11",427941,1034,"8/27/2014 18:30","Steuart at Market",74,"8/27/2014 18:47","Commercial at Montgomery",45,381,"Customer","972",3,"DISCARD","yes"
